Название	Тикер	Цена	P/E	Рыночная капитализация/Активы, %	Активы/Задолженности, раз	Диведендная доходность %	Сфера деятельности	P/E < 15	Рыночная капитализация/Активы <150%	Активы/Задолженности > 2раз	Сумма
BLOCK(H & R) INC	HRB	20,67	10,70943054	146,39513904280452	1,3012468976246827	5,0314465	Consumer Services	1	1	0	2
HORMEL FOODS CORP	HRL	41,6	23,54015609	268,3325297652902	26,13272032052353	2,235577	Consumer Non-Durables	0	0	1	1
HENRY SCHEIN INC	HSIC	60,94	18,32517513	122,19443607355007	7,162934167244288	0	Distribution Services	0	1	1	2
HOST HOTELS & RESORTS INC	HST	14,48	11,76283327	84,78585940674522	2,796590909090909	5,5248623	Finance	1	1	1	3
HERSHEY COMPANY	HSY	143,99	27,85803329	361,02500669807796	1,8171104568739582	2,1473713	Consumer Non-Durables	0	0	0	0
HUMANA INC	HUM	319,68	15,65645749	144,08613469805528	4,793915603532875	0,7820321	Health Services	0	1	1	2
INTERNATIONAL BUS MACH CORP	IBM	130,15	12,60141436	75,97696318978092	2,232841339241175	4,978871	Technology Services	1	1	1	3
INTERCONTINENTAL EXCHANGE INC	ICE	89,22	26,82050533	52,25657879419639	11,58996688335582	1,34499	Finance	0	1	1	2
IDEXX LABORATORIES INC	IDXX	254,51	51,1899646	1185,1369486623282	1,7119086944661384	0	Health Technology	0	0	0	0
INTERNATIONAL FLAVORS & FRAGRANCES	IFF	119,78	30,57508067	95,8548944666932	3,044755197841546	2,5045917	Consumer Non-Durables	0	1	1	2
ILLUMINA INC	ILMN	265,67	38,52926789	533,8093220338983	3,8894205209994683	0	Health Technology	0	0	1	1
INCYTE CORPORATION	INCY	75,41	36,97528156	477,0432088713796	47,54158631501547	0	Health Technology	0	0	1	1
INTEL CORP	INTC	55,52	11,82788865	173,9320852011368	4,5958392243991115	2,3775215	Electronic Technology	1	0	1	2
INTUIT INC	INTU	265,85	43,51986787	1033,442779435905	8,887267904509283	0,7974421	Technology Services	0	0	1	1
INTERNATIONAL PAPER CO	IP	36,96	12,08307522	43,29999103701712	2,32066837689801	5,546537	Process Industries	1	1	1	3
INTERPUBLIC GROUP COS INC	IPG	21,36	13,042958	46,66498031196661	3,534052676633951	4,775281	Commercial Services	1	1	1	3
IPG PHOTONICS CORPORATION	IPGP	127,64	36,72987199	248,03550641729015	40,50010382983773	0	Electronic Technology	0	0	1	1
IQVIA HOLDINGS INC	IQV	139,49	149,57560516	115,67693144380885	1,9067574216827947	0	Health Services	0	1	0	1
INGERSOLL-RAND PLC	IR	129,04	22,95578962	150,1210944595399	3,3376168604840566	1,6429014	Producer Manufacturing	0	0	1	1
IRON MOUNTAIN INC	IRM	30,41	33,56643357	64,8757282430337	1,3014456534414216	8,135482	Finance	0	1	0	1
INTUITIVE SURGICAL INC	ISRG	533,96	47,17325965	636,2842296469814	127,3979057591623	0	Health Technology	0	0	1	1
GARTNER INC	IT	129,39	51,17520951	161,2142890503453	2,3123478047179526	0	Commercial Services	0	0	1	1
ILLINOIS TOOL WORKS INC	ITW	167,78	21,97778065	355,0504507565702	1,898450296081643	2,5509598	Producer Manufacturing	0	0	0	0
INVESCO LTD	IVZ	14,4	11,38312802	16,580476556495004	4,740922921502364	8,611112	Finance	1	1	1	3
HUNT(J,B,)TRANSPORT SERVICES INC	JBHT	96,44	20,31269675	187,23186032747356	4,222185006251254	1,1198673	Transportation	0	0	1	1
JOHNSON CONTROLS INTERNATIONAL PLC	JCI	36,57	97,3042362	65,7049688095406	5,0646890636168695	2,843861	Producer Manufacturing	0	1	1	2
JEFFERIES FINANCIAL GROUP INC	JEF	19,71	6,53378356	11,29629458330508	2,367565676729198	3,0441403	Finance	1	1	1	3
JOHNSON & JOHNSON	JNJ	134,48	24,70521381	224,63807668898355	5,499389839963739	2,825699	Health Technology	0	0	1	1
JUNIPER NETWORKS	JNPR	21,22	21,69444167	79,3620844789934	4,69017672345168	3,7700284	Technology Services	0	1	1	2
JPMORGAN CHASE & CO,	JPM	116,11	11,32299023	13,281335375471789	4,954251077079634	3,1005082	Finance	1	1	1	3
NORDSTROM INC	JWN	34,7	10,19820134	53,47175285359802	2,0937240232751453	4,2651296	Retail Trade	1	1	1	3
KELLOGG COMPANY	K	60,47	21,7540107	117,76363800956501	2,073916637147243	3,7704647	Consumer Non-Durables	0	1	1	2
KEYCORP	KEY	16,35	10,30972359	10,863299537592054	10,216615341545353	4,525994	Finance	1	1	1	3
KRAFT HEINZ CO	KHC	24,77	15,79280248	29,821663873829472	3,3992293516501926	6,4594264	Consumer Non-Durables	0	1	1	2
KIMCO REALTY CORP	KIM	17,35	22,09171561	69,41891550425187	2,033449521288614	6,4553313	Finance	0	1	1	2
KLA CORPORATION	KLAC	153,71	20,74257842	260,492417022675	2,6412260730680437	2,2119575	Electronic Technology	0	0	1	1
KIMBERLY CLARK CORP	KMB	131,19	21,48250269	293,3993145324871	1,8749846644583488	3,262444	Consumer Non-Durables	0	0	0	0
KINDER MORGAN INC	KMI	19,17	20,28473449	57,89338977627263	2,160133636704012	5,216484	Industrial Services	0	1	1	2
CARMAX INC	KMX	87,31	17,10135934	69,62944404880503	1,3156239295865582	0	Retail Trade	0	1	0	1
COCA-COLA CO	KO	53,49	26,56446465	265,66846551903774	1,9563129883365418	3,0659935	Consumer Non-Durables	0	0	0	0
KROGER CO	KR	28,13	14,36822373	49,612302139096336	2,1859289222767986	2,2751513	Retail Trade	1	1	1	3
KOHLS CORPORATION	KSS	39,15	8,94589252	38,9455314823051	2,5788956251024087	6,8454657	Retail Trade	1	1	1	3
KANSAS CITY SOUTHERN	KSU	150,68	28,18657835	146,0294277161259	2,9378164697521543	1,0618529	Transportation	0	1	1	2
LOEWS CORP	L	45,63	15,11316065	15,96603370499617	6,726343338513127	0,5478852	Finance	0	1	1	2
LIMITED BRANDS INC	LB	21,66	None	56,335357478833494	1,1655701754385965	5,5401664	Retail Trade	0	1	0	1
LEGGETT & PLATT INC	LEG	39,66	15,87784402	108,8064409102234	2,1138468290542023	4,0342913	Consumer Durables	0	1	1	2
LENNAR CORP	LEN	60,34	10,94127252	64,2411795618803	3,0666851130430715	0,8286377	Consumer Durables	1	1	1	3
LABORATORY CORP AMER HLDGS	LH	175,69	21,84718101	94,75994095908197	2,5444610736170334	0	Health Services	0	1	1	2
LKQ CORPORATION	LKQ	29,58	17,05399667	70,99479043589821	2,3662729036749566	0	Consumer Durables	0	1	1	2
ELI LILLY AND COMPANY	LLY	126,13	25,78333932	307,05125135862306	2,466852112322299	2,346785	Health Technology	0	0	1	1
LOCKHEED MARTIN CORP	LMT	369,87	17,52395533	219,4075875063121	3,455576559546314	2,5955067	Electronic Technology	0	0	1	1
LINCOLN NATIONAL CORP	LNC	45,39	10,95553974	2,6399027979959455	50,842893900408654	3,5250056	Finance	1	1	1	3
LOWE'S COMPANIES INC	LOW	106,57	19,67350968	206,94494882318665	1,6619368421052632	2,0643709	Retail Trade	0	0	0	0
LAM RESEARCH CORP	LRCX	293,43	21,17174532	358,4666133182118	2,610693566571018	1,5676652	Electronic Technology	0	0	1	1
SOUTHWEST AIRLINES CO	LUV	46,19	10,90071768	88,4533455743531	6,76001001001001	1,558779	Transportation	1	1	1	3
LYONDELLBASELL INDUSTRIES N V	LYB	71,46	7,41182128	78,31720157713158	2,2459597077706444	5,8774137	Process Industries	1	1	1	3
MACY'S INC	M	13,23	7,1302233	19,30885131305498	2,9912404634077423	11,413455	Retail Trade	1	1	1	3
MASTERCARD INCORPORATED	MA	290,25	35,97935549	998,0257567724723	3,147378619872968	0,5512489	Finance	0	0	1	1
MID-AMERICA APARTMENT COMMUNITIES	MAA	129,26	43,758967	136,55018276204427	2,4946310937197347	3,0945382	Finance	0	1	1	2
MACERICH CO	MAC	20,42	28,00419342	34,1051085488556	1,581537910250252	14,691479	Finance	0	1	0	1
MARRIOTT INTERNATIONAL INC	MAR	124	31,55146496	161,83061754021796	2,095967202141901	1,548387	Consumer Services	0	0	1	1
MASCO CORP	MAS	41,32	19,68306161	228,28745176049333	1,6908846283215606	1,3068733	Producer Manufacturing	0	0	0	0
MATTEL INC	MAT	11,79	None	76,7969113423543	1,6684769003302033	0	Consumer Durables	0	1	0	1
MCDONALD'S CORPORATION	MCD	194,17	25,521865	307,7785846796939	0,9990495415930692	2,5750632	Consumer Services	0	0	0	0
MICROCHIP TECHNOLOGY	MCHP	90,71	35,51165547	123,53735931228182	1,8068499342537805	1,6183442	Electronic Technology	0	1	0	1
MCKESSON CORPORATION	MCK	139,86	None	40,685605539401706	5,074864526886203	1,1726012	Distribution Services	0	1	1	2
MOODYS CORP	MCO	240,03	32,89840812	438,2038188017535	1,6677497969130788	0,9332167	Commercial Services	0	0	0	0
MONDELEZ INTL INC	MDLZ	52,8	20,51378635	117,21209004012456	3,3960646077760823	2,159091	Consumer Non-Durables	0	1	1	2
MEDTRONIC PLC	MDT	100,67	25,6593993	145,41523485811553	3,6292618079449483	2,1456244	Health Technology	0	1	1	2
METLIFE INC	MET	42,72	7,25790448	5,242278400686033	38,276746332957224	4,11985	Finance	1	1	1	3
MGM RESORTS INTERNATIONAL	MGM	24,56	6,43210001	34,41352544277715	2,2592785139104996	2,442997	Consumer Services	1	1	1	3
MOHAWK INDUSTRIES	MHK	121,15	11,9895405	64,81820212330466	4,616118836435762	0	Consumer Durables	1	1	1	3
MCCORMICK & COMPANY INC	MKC	146,19	28,67119524	187,51557570376661	2,3963045187549143	1,6964225	Consumer Non-Durables	0	0	1	1
MARTIN MARIETTA MATERIALS INC	MLM	227,53	23,69852051	135,80664123675726	3,1963683209619043	0,9669055	Non-Energy Minerals	0	1	1	2
MARSH & MCLENNAN COMPANIES INC	MMC	104,56	31,34678555	168,02492228210605	2,204513498312711	1,7406274	Finance	0	0	1	1
3M COMPANY	MMM	149,24	19,23106478	192,35214402472064	2,0967651063430206	3,9399624	Producer Manufacturing	0	0	1	1
MONSTER BEVERAGE CORP	MNST	62,41	31,47498889	651,5425279670205	237,39811016363217	0	Consumer Non-Durables	0	0	1	1
ALTRIA GROUP INC	MO	40,37	None	152,2648147997808	1,7570430069181942	8,323012	Consumer Non-Durables	0	0	0	0
MOSAIC CO	MOS	17,03	None	33,424105085887504	4,013497213210216	1,1743981	Process Industries	0	1	1	2
MARATHON PETROLEUM CORP	MPC	47,42	12,014338	31,3591742324662	3,40311394687565	4,892451	Energy Minerals	1	1	1	3
MERCK & CO INC	MRK	76,56	20,49343832	230,07551358460609	3,0858135283363803	3,187043	Health Technology	0	0	1	1
MARATHON OIL CORPORATION	MRO	8,28	13,42929721	32,54945912571005	3,5461551935540374	2,415459	Energy Minerals	1	1	1	3
MORGAN STANLEY	MS	45,03	8,75576037	7,644988499940173	3,256346889960784	3,1090386	Finance	1	1	1	3
MSCI INC	MSCI	295,44	45,13044666	595,9338575253439	1,2904121705940743	0,9206607	Finance	0	0	0	0
MICROSOFT CORP	MSFT	162,01	27,53542457	435,74338935762427	3,2450227776056546	1,2591816	Technology Services	0	0	1	1
MOTOROLA SOLUTIONS INC	MSI	165,68	34,14856172	265,5659530163503	1,8514265831593597	1,5451473	Electronic Technology	0	0	0	0
M & T BANK CORP	MTB	140,38	10,5141902	15,277673978083278	17,006728193277795	3,1343496	Finance	1	1	1	3
METTLER-TOLEDO INTERNATIONAL INC	MTD	701,7	30,71460926	605,0881114077583	2,0216294531067107	0	Health Technology	0	0	1	1
MICRON TECHNOLOGY INC	MU	52,56	16,40716232	117,60020785917138	8,058594384028567	0	Electronic Technology	0	1	1	2
MYLAN NV	MYL	17,19	681,75182482	28,38886797523636	2,456729862290134	0	Health Technology	0	1	1	2
NORWEGIAN CRUISE LINE HLDGS LTD	NCLH	37,26	8,06856187	47,585412870875714	2,367260532044128	0	Consumer Services	1	1	1	3
NASDAQ INC	NDAQ	102,55	23,20984988	121,53102987647229	3,684572638264091	1,8332521	Finance	0	1	1	2
NEXTERA ENERGY INC	NEE	252,76	32,95167688	105,01316681819341	2,731853949536919	2,2155404	Utilities	0	1	1	2
NEWMONT CORPORATION	NEM	44,63	13,41347401	90,16468026717365	5,785786655087567	1,2547613	Non-Energy Minerals	1	1	1	3
NETFLIX INC	NFLX	369,03	89,92186177	476,6138446487891	2,0751702214702292	0	Consumer Services	0	0	1	1
NISOURCE INC	NI	27,02	22,20414803	45,60375053654614	2,3197530605399965	3,1088083	Utilities	0	1	1	2
NIKE INC	NKE	89,38	31,02336825	523,2570363130592	3,843108928055475	1,0964422	Consumer Non-Durables	0	0	1	1
NEKTAR THERAPEUTICS	NKTR	20,81	None	185,14303039007643	4,154467086450723	0	Health Technology	0	0	1	1
NIELSEN HLDGS PLC	NLSN	18,21	None	45,24966897129688	1,6290102389078498	1,3179573	Commercial Services	0	1	0	1
NORTHROP GRUMMAN CORP	NOC	328,84	25,16698546	134,16182209350433	2,646463995877882	1,6056441	Electronic Technology	0	1	1	2
NATIONAL OILWELL VARCO INC	NOV	18,71	None	53,608525389755016	4,85055815628376	1,0689472	Industrial Services	0	1	1	2
NRG ENERGY INC	NRG	33,21	2,12510395	66,67813215226239	1,9436947417403443	3,6133697	Utilities	1	1	0	2
NORFOLK SOUTHERN CORP	NSC	182,35	17,99310661	122,49974831952477	2,9492853849700325	2,018097	Transportation	0	1	1	2
NETAPP INC	NTAP	46,72	11,01916069	138,09153334224243	3,7640845070422535	4,109589	Electronic Technology	1	1	1	3
NORTHERN TRUST CORP	NTRS	87,76	13,22453658	13,42090127488153	11,044078357937899	3,1905196	Finance	1	1	1	3
NUCOR CORP	NUE	41,35	10,12642899	68,03027212378791	4,18540459305468	3,8935914	Non-Energy Minerals	1	1	1	3
NVIDIA CORP	NVDA	270,07	55,88248308	954,5644816632978	6,551267499054105	0,2369756	Electronic Technology	0	0	1	1
NEWS CORP NEW	NWS	12,44	None	44,94551676698194	5,970663733039971	1,607717	Consumer Services	0	1	1	2
REALTY INCOME CORP	O	72,39	52,60916637	131,09009659820566	2,310748317076761	3,8541236	Finance	0	1	1	2
ONEOK INC	OKE	66,72	21,94250447	126,42807033758889	1,710882870903889	5,6055155	Industrial Services	0	1	0	1
OMNICOM GROUP INC	OMC	69,28	11,45833333	56,096742907920586	3,9110702238577124	3,752887	Commercial Services	1	1	1	3
ORACLE CORP	ORCL	49,46	16,1180765	161,15962435114736	1,834808864369187	1,9409624	Technology Services	0	0	0	0
OREILLY AUTOMOTIVE INC NEW	ORLY	368,72	20,7038192	260,16442490361254	1,8282787874548887	0	Retail Trade	0	0	0	0
OCCIDENTAL PETROLEUM CORP	OXY	32,74	None	26,75130209457605	2,732498562895204	9,651801	Energy Minerals	0	1	1	2
PAYCHEX INC	PAYX	77,48	26,40297159	319,1071546939104	8,824358584322077	3,200826	Technology Services	0	0	1	1
PEOPLE'S UNITED FINANCIAL INC	PBCT	13,99	11,40267928	10,604737957801529	9,53051597371332	5,0750537	Finance	1	1	1	3
PACCAR INC	PCAR	66,9	9,86319313	81,69998942213101	2,518725410964379	1,9133034	Producer Manufacturing	1	1	1	3
PG&E CORP	PCG	15,5	None	8,726039506015255	3,619845211967194	0	Utilities	0	1	1	2
PUBLIC SERVICE ENTERPRISE GROUP INC	PEG	51,31	15,85354883	54,30141707521475	2,893428709990301	3,8199182	Utilities	0	1	1	2
PEPSICO INC	PEP	132,03	26,24923006	233,56839370058694	2,3357618651124064	2,893282	Consumer Non-Durables	0	0	1	1
PFIZER INC	PFE	33,42	11,88526019	110,42533563398193	3,1321576841081646	4,548175	Health Technology	1	1	1	3
PRINCIPAL FINANCIAL GROUP	PFG	44,39	9,44759521	4,416493709609769	68,05556103332675	5,0461817	Finance	1	1	1	3
PROCTER & GAMBLE CO	PG	113,23	67,03283723	250,2759713756344	3,8439015998623773	2,6353438	Consumer Non-Durables	0	0	1	1
PROGRESSIVE CORP(OHIO)	PGR	73,16	14,26701081	79,28541829836637	11,71389840801631	0,54674685	Finance	1	1	1	3
PARKER-HANNIFIN CORP	PH	184,77	17,73256646	112,70501761809513	2,125517832633261	1,9050711	Producer Manufacturing	0	1	1	2
PULTE GROUP INC	PHM	40,2	11,38943462	101,28222440616234	3,3664864290873355	1,1940298	Consumer Durables	1	1	1	3
PACKAGING CORP OF AMERICA	PKG	90,62	12,52913515	118,54816274634456	2,6461144633388187	3,487089	Process Industries	1	1	1	3
PERKINELMER INC	PKI	86,44	41,32523035	147,1442010814607	2,897032193805281	0,3239241	Health Technology	0	1	1	2
PROLOGIS INC	PLD	84,28	35,19788918	160,01358917961574	3,2342407128541435	2,752729	Finance	0	0	1	1
PHILIP MORRIS INTERNATIONAL INC	PM	81,87	18,02812622	297,10169492711367	1,347931338028169	5,716379	Consumer Non-Durables	0	0	0	0
PNC FINANCIAL SERVICES GROUP	PNC	126,4	11,46473335	13,339475255608768	6,80840648490782	3,6392405	Finance	1	1	1	3
PENTAIR PLC	PNR	39,39	18,9258923	160,1415936707332	3,73196898665705	1,9294237	Producer Manufacturing	0	0	1	1
PINNACLE WEST CAPITAL CORP	PNW	89,49	19,60254638	54,451169520056744	3,179598363197196	3,4975977	Utilities	0	1	1	2
PPG INDUSTRIES INC	PPG	104,45	19,86423517	139,05982719674722	3,030116358658453	1,9530877	Process Industries	0	1	1	2
PPL CORP	PPL	30,01	13,05776767	50,442421497373026	1,97338862968723	5,5314894	Utilities	1	1	0	2
PERRIGO COMPANY PLC	PRGO	50,69	48,41180867	61,049214256640774	3,226298210054526	1,7754982	Health Technology	0	1	1	2
PRUDENTIAL FINANCIAL INC	PRU	75,45	7,65478424	3,3409830104667657	24,670537409537438	5,831677	Finance	1	1	1	3
PUBLIC STORAGE	PSA	209,12	28,96046049	324,91735474654575	5,973974148656526	3,8255548	Finance	0	0	1	1
PHILLIPS 66	PSX	74,86	10,94763533	56,023377997275205	4,5085995085995085	4,8089767	Energy Minerals	1	1	1	3
PVH CORPORATION	PVH	74,11	8,53325235	38,568103836167545	2,7860095389507156	0,20240185	Consumer Non-Durables	1	1	1	3
QUANTA SERVICES	PWR	38,13	14,43268773	65,13750618422546	5,031026653623662	0,52452135	Industrial Services	1	1	1	3
PIONEER NATURAL RESOURCES CO	PXD	122,78	27,316454	98,76456337071016	7,938728323699422	1,7918228	Energy Minerals	0	1	1	2
PAYPAL HOLDINGS INC	PYPL	107,99	52,07649218	246,75524613796193	10,338972809667673	0	Technology Services	0	0	1	1
QUALCOMM INC	QCOM	78,3	21,59902159	270,3030171242185	2,028860294117647	3,1673052	Electronic Technology	0	0	1	1
QORVO INC	QRVO	100,58	32,91895271	178,47368580089616	3,970155188876872	0	Electronic Technology	0	0	1	1
ROYAL CARIBBEAN CRUISES	RCL	80,41	8,60700633	55,427218293865586	2,5840799495938676	3,8801143	Consumer Services	1	1	1	3
EVEREST RE GROUP	RE	247,88	10,55447157	37,62605131605064	42,406087101945	2,5012102	Finance	1	1	1	3
REGENERON PHARMACEUTICALS INC	REGN	444,57	23,38196337	330,3675604719963	20,73847877854041	0	Health Technology	0	0	1	1
REGIONS FINANCIAL CORP	RF	13,52	9,20938892	10,216024056637279	10,258359646992146	4,5857987	Finance	1	1	1	3
ROBERT HALF INTERNATIONAL INC	RHI	50,41	13,00138313	251,06771283996596	8,441156062609101	2,6978774	Commercial Services	1	0	1	2
RAYMOND JAMES FINANCIAL INC	RJF	83,63	11,7113077	29,00911719878468	1,531893789104227	1,7696999	Finance	1	1	0	2
RALPH LAUREN CORP	RL	105,51	11,80770214	104,52205264642286	2,6396412365286444	2,6063879	Retail Trade	1	1	1	3
RESMED INC	RMD	158,96	51,87452181	527,9889846871994	3,112203884376503	0,9813789	Health Technology	0	0	1	1
ROCKWELL AUTOMATION INC	ROK	183,5	23,83268482	299,94462499472417	2,710766179779566	2,2234333	Producer Manufacturing	0	0	1	1
ROPER TECHNOLOGIES INC	ROP	351,7	21,10105921	202,09509467720292	3,4327715959281937	0,5828831	Electronic Technology	0	0	1	1
ROSS STORES INC	ROST	108,78	24,75289123	414,6117586310134	2,7106998738766284	0,9376724	Retail Trade	0	0	1	1
REPUBLIC SERVICES INC	RSG	90,26	27,40309612	126,95679903719834	2,5337950293214186	1,794815	Industrial Services	0	1	1	2
RAYTHEON CO	RTN	188,56	16,19678176	151,89155516982004	6,086634970945589	1,9993637	Electronic Technology	0	0	1	1
SBA COMMUNICATIONS CORP	SBAC	265,09	211,19310238	311,80926196172703	0,7588882996756043	0,70164853	Finance	0	0	0	0
STARBUCKS CORP	SBUX	78,43	25,5883122	331,9472617583741	1,3441959438498527	2,0910366	Consumer Services	0	0	0	0
SCHWAB(CHARLES)CORP	SCHW	40,75	15,69956921	17,82740599649666	36,38675742574257	1,7668712	Finance	0	1	1	2
SEALED AIR CORP	SEE	30,31	16,93795582	81,23534239922292	1,4759478763984537	2,1115143	Process Industries	0	1	0	1
SHERWIN-WILLIAMS CO	SHW	516,75	31,90380762	232,5251461246475	1,9655909853752098	1,0372521	Process Industries	0	0	0	0
SVB FINANCIAL GROUP	SIVB	208,16	9,72710538	15,143620377877284	121,52880033683404	0	Finance	1	1	1	3
SMUCKER(J,M,)CO	SJM	102,99	19,37374475	70,60883759512389	2,9845000179397942	3,4178076	Consumer Non-Durables	0	1	1	2
SCHLUMBERGER LIMITED	SLB	27,09	None	66,78017900269924	3,3709667764142472	7,382798	Industrial Services	0	1	1	2
SL GREEN OPER PARTNERSHIP L P	SLG	78,44	27,14816065	49,905454351763076	2,151292428233632	4,5130033	Finance	0	1	1	2
SNAP-ON INC	SNA	144,75	11,84084411	138,96355932203392	4,668333879960643	2,984456	Consumer Durables	1	1	1	3
SYNOPSYS INC	SNPS	137,93	43,66682623	287,6730411335541	8,389926594433664	0	Technology Services	0	0	1	1
SOUTHERN CO,	SO	60,36	13,98452095	53,60852805391744	2,4380725465226143	4,108681	Utilities	1	1	1	3
SIMON PROPERTY GROUP INC	SPG	123,08	18,59571323	123,60578042196325	1,2654611283231765	6,784206	Finance	0	1	0	1
S&P GLOBAL INC	SPGI	265,91	31,07913167	571,2800317236517	2,4247863247863246	1,0078598	Commercial Services	0	0	1	1
STERICYCLE INC	SRCL	57,43	None	81,30310765884728	2,0663199794555727	0	Industrial Services	0	1	1	2
SEMPRA ENERGY	SRE	139,78	19,76437047	60,006735521206124	2,543577626278277	2,9904134	Utilities	0	1	1	2
STATE STREET CORPORATION	STT	68,11	12,04806724	9,826242262122879	15,876535229476406	3,0538833	Finance	1	1	1	3
SEAGATE TECHNOLOGY PLC	STX	47,95	7,8464459	140,09001567398118	2,1216152019002377	5,4223146	Electronic Technology	1	1	1	3
CONSTELLATION BRANDS INC	STZ	172,38	44,24350805	120,45049207380313	2,094231408408246	1,7403411	Consumer Non-Durables	0	1	1	2
STANLEY BLACK & DECKER INC	SWK	143,7	21,4384705	107,4613892584213	5,630409228834641	1,9206681	Consumer Durables	0	1	1	2
SKYWORKS SOLUTIONS INC	SWKS	100,18	20,41901254	334,7760693664323	33,7428760768721	1,7568377	Electronic Technology	0	0	1	1
SYNCHRONY FINANCIAL	SYF	29,1	5,34832595	17,030298494648274	5,27665357897916	3,024055	Finance	1	1	1	3
STRYKER CORP	SYK	190,59	35,53193041	236,6501450260218	2,6284743399843165	1,206779	Health Technology	0	0	1	1
SYSCO CORP	SYY	66,65	19,91710733	174,9538786169795	2,028030149883644	2,700675	Distribution Services	0	0	1	1
AT&T INC	T	35,22	18,80328386	45,79355258316128	2,928148321143088	5,905735	Communications	0	1	1	2
MOLSON COORS BEVERAGE COMPANY	TAP	49,61	44,9973007	37,18730174845287	3,135639627110541	4,5958476	Consumer Non-Durables	0	1	1	2
MOLSON COORS BEVERAGE COMPANY	TAP,A	64	60,97714594	47,973942993367935	3,135639627110541	3,9354448	Consumer Non-Durables	0	1	1	2
TRANSDIGM GROUP INC	TDG	557,81	42,72141319	164,94659220092532	0,9877053639429877	0	Electronic Technology	0	0	0	0
TE CONNECTIVITY LTD	TEL	82,87	17,80417335	138,61807939527432	4,447016918967052	2,220345	Electronic Technology	0	1	1	2
TARGET CORP	TGT	103	16,87570901	119,32491483962416	3,1513688760806917	2,5631068	Retail Trade	0	1	1	2
TIFFANY & CO	TIF	133,59	29,75458064	258,5400843585237	2,908997955010225	1,736657	Retail Trade	0	0	1	1
TJX COS INC	TJX	59,8	22,50252648	300,3423731621454	2,106084923764	1,5384616	Retail Trade	0	0	1	1
THERMO FISHER SCIENTIFIC INC	TMO	290,8	32,38741047	198,65912265976945	3,15743645213629	0,3026135	Health Technology	0	0	1	1
TAPESTRY INC	TPR	23,45	11,10197368	74,40006494178228	2,2687824340887164	5,7569294	Retail Trade	1	1	1	3
TRIPADVISOR INC	TRIP	23,45	25,56255626	160,84879672379034	11,880239520958083	0	Consumer Services	0	0	1	1
PRICE T ROWE GROUPS	TROW	118,01	13,77217983	292,32640426916294	65,13192071086807	3,0505888	Finance	1	0	1	2
TRAVELERS COMPANIES INC	TRV	119,81	12,48943109	27,39768133602331	16,07451715191698	2,737668	Finance	1	1	1	3
TRACTOR SUPPLY CO	TSCO	88,51	19,40807829	196,25834463294353	1,952360246658935	1,5817422	Retail Trade	0	0	0	0
TYSON FOODS INC	TSN	67,83	12,64945702	71,82772287717015	2,7607577365885523	2,4767802	Consumer Non-Durables	1	1	1	3
TAKE TWO INTERACTIVE SOFTWARE INC	TTWO	107,48	36,28777172	249,83049995768124	27,802909269093146	0	Consumer Durables	0	0	1	1
TWITTER INC	TWTR	33,2	17,66941441	202,8990248192825	3,8627563904721796	0	Technology Services	0	0	1	1
TEXAS INSTRUMENTS INC	TXN	114,14	21,61485699	591,6529062049062	2,936919315403423	3,1540215	Electronic Technology	0	0	1	1
TEXTRON INC	TXT	40,6	11,6660008	61,65155147156746	3,6709850892202396	0,19704434	Electronic Technology	1	1	1	3
UNDER ARMOUR INC	UA	12,48	62,03657934	116,4189612908434	3,7280241559948952	0	Consumer Non-Durables	0	1	1	2
UNDER ARMOUR INC	UAA	14,19	69,15472071	132,37059781386762	3,7280241559948952	0	Consumer Non-Durables	0	1	1	2
UDR INC	UDR	44,98	74,97607656	143,73102521337685	1,9641889393613885	3,045798	Finance	0	1	0	1
UNIVERSAL HEALTH SERVICES INC,	UHS	123,74	14,06001601	91,97560874167078	2,7068454952797087	0,6465169	Health Services	1	1	1	3
ULTA BEAUTY INC	ULTA	257,09	22,35023624	298,15483490259794	2,5545577379468476	0	Retail Trade	0	0	1	1
UNITEDHEALTH GROUP INC	UNH	254,96	17,72355113	136,82523016344473	4,275068930489043	1,6943835	Health Services	0	1	1	2
UNUM GROUP	UNM	23,31	4,56236053	6,921014574163226	20,549720435279266	4,890605	Finance	1	1	1	3
UNION PACIFIC CORP	UNP	159,81	19,03773675	177,33114234961258	2,301113453926682	2,4278831	Transportation	0	0	1	1
UNITED PARCEL SERVICE INC	UPS	90,49	17,65949119	134,20741331213165	2,0540703660311714	4,464582	Transportation	0	1	1	2
UNITED RENTALS INC	URI	132,48	8,52833019	50,274331547527936	1,6145481505890107	0	Finance	1	1	0	2
US BANCORP	USB	46,44	11,44315746	14,134619421260433	7,668398945302918	3,617571	Finance	1	1	1	3
UNITED TECHNOLOGIES CORP	UTX	130,59	20,63088233	80,8788559005411	3,0152796961325965	2,251321	Producer Manufacturing	0	1	1	2
VISA INC	V	181,76	33,73943358	521,9893643572565	4,481124161073826	0,6602113	Finance	0	0	1	1
VARIAN MEDICAL SYSTEMS INC	VAR	122,97	39,16149068	250,50437054845304	7,001258455246186	0	Health Technology	0	0	1	1
V F CORP	VFC	72	22,74139431	262,79962516166154	3,0577059448235144	2,6666667	Consumer Non-Durables	0	0	1	1
VALERO ENERGY CORP	VLO	66,25	11,29946396	49,75155252440009	4,97245028279511	5,916981	Energy Minerals	1	1	1	3
